Region;Sector;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10
BNL;ROI;4.432374523;1.869724129;2.464420705;3.032954376;3.206118494;3.817789552;4.07881943;4.35795884;5.051553864;5.599878908
BNL;BUI;0.142685384;0.043449852;0.065001641;0.062184299;0.077240694;0.081789338;0.112060082;0.105426505;0.106345615;0.121624607
BNL;TRN;2.76227299;1.510502812;1.368406857;1.464770276;1.774510285;2.194705575;1.991775979;2.873209123;3.964939417;4.034288185
BNL;AGR;0.560199961;0.546280699;0.613194384;0.617875461;0.632875867;0.649361597;0.651429827;0.659539585;0.690554698;0.716740483
BNL;SER;17.26635113;12.40563441;15.18581309;17.50541865;18.80505128;20.35817203;21.58286893;21.82621557;24.10855823;28.60269868
BNL;DWE;11.90108163;7.456926548;8.096813608;7.928811681;7.999465219;8.43827166;8.280229303;7.956420104;8.508414012;9.038082593
EUN;oil;0.436389146;0.65268178;1.381983361;1.712117605;1.877559543;2.095113561;2.429058427;2.513571712;2.776852597;2.980992114
EUN;gas;0.05426053;0.049024;0.071419209;0.065718342;0.0592251;0.06133307;0.079824158;0.084858091;0.138312835;0.243560266
EUN;ppp;1.84E-01;2.29E-01;6.41E-01;9.52E-01;1.03E+00;9.34E-01;1.04E+00;1.10E+00;1.16E+00;1.58E+00
EUN;nmm;0.048674996;0.073554837;0.092002107;0.088710124;0.119204947;0.147180896;0.134054928;0.185628734;0.310781752;0.437638489
EUN;nfm;0.000850015;0.001300296;0.001364298;0.000682603;0.00105375;0.001908638;0.001370708;0.002337729;0.003686844;0.005945873
EUN;mvh;0.221094378;0.430356263;1.146672996;1.927250586;2.73018704;3.196101868;4.079858189;4.296013037;4.998945761;6.967463812
EUN;ele;1.140446725;1.187073725;2.2324229;2.695288227;2.74605988;2.824041436;3.013887654;3.253265202;4.105928155;5.541746144
EUN;COL;0.013952255;0.008897597;0.009778816;0.012975038;0.009006721;0.009692613;0.011010245;0.011507287;0.016537879;0.019490696
EUN;CRU;1.29077E-07;7.52566E-08;1.17308E-06;2.24437E-06;1.70438E-06;1.70269E-06;1.84352E-06;1.63486E-06;2.22283E-06;3.07339E-06
EUN;CHM;0.372740555;0.53234558;1.078951888;1.282932491;1.625844005;1.770644889;1.844759017;1.96893223;2.229130299;2.762825891
EUN;IRS;0.000818394;0.001251926;0.001313546;0.00065721;0.001014551;0.001837638;0.001319718;0.002250767;0.003549695;0.005724689
EUN;MAC;0.242167161;0.359584968;0.969055637;1.428080011;2.008871808;2.311608829;2.832268632;3.132575997;3.611210977;5.117215249
EUN;FOT;3.280057658;3.553161323;5.890403281;6.871349795;7.158411841;7.234771285;7.852145878;7.864636832;8.206011773;8.942231299
EUN;ROI;0.849027959;1.274788153;2.261770075;2.750087798;3.455566984;3.399817371;3.875649454;4.289370308;4.960589421;6.492543683
EUN;BUI;0.044536346;0.04085469;0.066686078;0.041362723;0.038807943;0.065957626;0.049959025;0.089923825;0.124140248;0.297449522
EUN;TRN;0.495809789;0.734945067;1.662440242;1.697373015;2.077855718;2.001455081;2.21955188;2.821799133;2.990233826;3.972649957
EUN;AGR;0.44785151;0.478256806;0.748319157;0.877478949;0.911922125;0.909962121;0.967293546;0.980219196;1.017128136;1.096038076
EUN;SER;3.2484745;4.545073611;11.07852282;14.52850374;15.74306462;17.95136157;20.63917898;22.72351778;25.68576262;33.6936641
EUN;DWE;1.996365274;2.407461322;8.372288748;11.63913852;11.09647446;11.46708888;12.10415927;11.70339053;11.67547972;13.47098982
EUS;oil;0.36893132;0.656621689;1.054913606;1.588232095;2.306470613;3.069428038;4.19447716;6.000205037;9.354161821;15.52039584
