"r";"i";"hh";"Value"
"BNL";"FOT";"hh2";10.13809621
"BNL";"ROI";"hh2";5.342101911
"BNL";"BUI";"hh2";0.123985889
"BNL";"TRN";"hh2";2.744804797
"BNL";"AGR";"hh2";1.199844074
"BNL";"SER";"hh2";47.71666671
"EUN";"oil";"hh2";2.867323
"EUN";"gas";"hh2";0.125697983
"EUN";"ppp";"hh2";1.477163591
"EUN";"nmm";"hh2";0.165164037
"EUN";"nfm";"hh2";0.001869229
"EUN";"mvh";"hh2";2.818805564
"EUN";"ele";"hh2";4.554947578
"EUN";"COL";"hh2";0.020998081
"EUN";"CRU";"hh2";3.17e-06
"EUN";"CHM";"hh2";2.185504135
"EUN";"IRS";"hh2";0.001799695
"EUN";"MAC";"hh2";2.198722476
"EUN";"FOT";"hh2";11.868903413
"EUN";"ROI";"hh2";4.627691427
"EUN";"BUI";"hh2";0.098546229
"EUN";"TRN";"hh2";3.10743155
"EUN";"AGR";"hh2";1.512348344
"EUN";"SER";"hh2";43.52482227
"EUS";"oil";"hh2";2.342190683
"EUS";"gas";"hh2";0.637991413
"EUS";"ppp";"hh2";0.760879463
"EUS";"nmm";"hh2";0.38193547
"EUS";"nfm";"hh2";0.014775219
"EUS";"mvh";"hh2";0.359928942
"EUS";"ele";"hh2";3.748394152
"EUS";"COL";"hh2";0.045073389
"EUS";"CRU";"hh2";9.34e-09
"EUS";"CHM";"hh2";2.073568047
"EUS";"IRS";"hh2";0.008139169
"EUS";"MAC";"hh2";0.785278461
"EUS";"FOT";"hh2";15.759352231
"EUS";"ROI";"hh2";3.839726411
"EUS";"BUI";"hh2";0.24629277
"EUS";"TRN";"hh2";4.877275575
"EUS";"AGR";"hh2";3.493532595
"EUS";"SER";"hh2";27.68523319
"DEU";"oil";"hh3";11.888583198
"DEU";"gas";"hh3";1.751900516
"DEU";"ppp";"hh3";6.325756925
"DEU";"nmm";"hh3";1.41889107
"DEU";"nfm";"hh3";0.00476503
"DEU";"mvh";"hh3";12.301630005
"DEU";"ele";"hh3";8.080844503
"DEU";"COL";"hh3";0.040016242
"DEU";"CRU";"hh3";0.007486106
"DEU";"CHM";"hh3";9.91965225
"DEU";"IRS";"hh3";0.000900426
"DEU";"MAC";"hh3";11.613182222
"DEU";"FOT";"hh3";35.49872655
"DEU";"ROI";"hh3";24.77238005
"DEU";"BUI";"hh3";0.980478478
"DEU";"TRN";"hh3";9.278416755
"DEU";"AGR";"hh3";2.154118351
"DEU";"SER";"hh3";90.46529453
"DEU";"DWE";"hh3";49.14725436
"FRA";"oil";"hh3";8.125375626
"FRA";"gas";"hh3";0.562147514
"FRA";"ppp";"hh3";2.994929109
"FRA";"nmm";"hh3";0.784631692
"FRA";"nfm";"hh3";0.029362128
"FRA";"mvh";"hh3";13.522414615
"FRA";"ele";"hh3";4.133346673
"FRA";"COL";"hh3";0.006701106
"FRA";"CRU";"hh3";6.84e-07
"FRA";"CHM";"hh3";8.635913069
"FRA";"IRS";"hh3";0.015520227
"FRA";"MAC";"hh3";10.507427789
"FRA";"FOT";"hh3";23.38822043
"FRA";"ROI";"hh3";14.144025184
"FRA";"BUI";"hh3";2.451264523
"FRA";"TRN";"hh3";6.153526579
"FRA";"AGR";"hh3";2.749005006
"FRA";"SER";"hh3";116.76896516
"ITA";"oil";"hh3";5.274596347
"ITA";"gas";"hh3";1.881264601
"ITA";"ppp";"hh3";2.795843328
"ITA";"nmm";"hh3";0.703052859
"ITA";"nfm";"hh3";0.001264519
"ITA";"mvh";"hh3";1.351701168
"ITA";"ele";"hh3";3.337804815
"ITA";"COL";"hh3";0.001154949
"ITA";"CRU";"hh3";6.83e-07
"ITA";"CHM";"hh3";6.143015036
"ITA";"IRS";"hh3";0.000259674
"ITA";"MAC";"hh3";3.376616959
"ITA";"FOT";"hh3";19.423758972
"ITA";"ROI";"hh3";17.856146729
"ITA";"BUI";"hh3";0.924254099
"ITA";"TRN";"hh3";5.413809091
"ITA";"AGR";"hh3";2.384257369
"ITA";"SER";"hh3";93.99764084
"POL";"oil";"hh3";1.581626432
"POL";"gas";"hh3";0.246502431
"POL";"ppp";"hh3";0.794734884
"POL";"nmm";"hh3";0.41405889
"POL";"nfm";"hh3";0.031066162
"POL";"mvh";"hh3";1.009211939
"POL";"ele";"hh3";2.150575277
"POL";"COL";"hh3";0.210341467
"POL";"CRU";"hh3";4.77e-08
"POL";"CHM";"hh3";1.961856392
"POL";"IRS";"hh3";0.021310328
"POL";"MAC";"hh3";0.969549452
"POL";"FOT";"hh3";8.033230013
"POL";"ROI";"hh3";2.713566484
"POL";"BUI";"hh3";2.384984053
"POL";"TRN";"hh3";1.96846526
"POL";"AGR";"hh3";1.077498815
"POL";"SER";"hh3";18.066965722
"UKI";"oil";"hh3";6.990295304
"UKI";"gas";"hh3";1.190061971
"UKI";"ppp";"hh3";4.543906971
"UKI";"nmm";"hh3";0.540121325
"UKI";"nfm";"hh3";0.019303277
"UKI";"mvh";"hh3";7.219232349
"UKI";"ele";"hh3";3.097437922
"UKI";"COL";"hh3";0.012936096
"UKI";"CRU";"hh3";9.45e-07
"UKI";"CHM";"hh3";7.134396451
"UKI";"IRS";"hh3";0.002050514
"UKI";"MAC";"hh3";5.812119883
"UKI";"FOT";"hh3";24.7111241
"UKI";"ROI";"hh3";19.115455887
"UKI";"BUI";"hh3";1.479770213
"UKI";"TRN";"hh3";5.716883658
"UKI";"AGR";"hh3";2.052901447
"UKI";"SER";"hh3";117.02411673
"ESP";"oil";"hh3";4.760422063
"ESP";"gas";"hh3";0.179453037
"ESP";"ppp";"hh3";1.728561487
"ESP";"nmm";"hh3";0.135274952
"ESP";"nfm";"hh3";0.002270675
"ESP";"mvh";"hh3";3.990406335
"ESP";"ele";"hh3";3.178162209
"ESP";"COL";"hh3";0.000948096
"ESP";"CRU";"hh3";6.48e-07
"ESP";"CHM";"hh3";3.207876981
"ESP";"IRS";"hh3";0.001172703
"ESP";"MAC";"hh3";2.86865486
"ESP";"FOT";"hh3";16.560245166
"ESP";"ROI";"hh3";11.66815322
"ESP";"BUI";"hh3";0.667430552
"ESP";"TRN";"hh3";4.165586945
"ESP";"AGR";"hh3";2.560242552
"ESP";"SER";"hh3";79.72707708
"BNL";"oil";"hh3";3.747758904
"BNL";"gas";"hh3";1.129749739
"BNL";"ppp";"hh3";1.749417961
"BNL";"nmm";"hh3";0.383128109
"BNL";"nfm";"hh3";0.010697349
"BNL";"mvh";"hh3";5.364381451
"BNL";"ele";"hh3";1.446792117
"BNL";"COL";"hh3";0.004900368
"BNL";"CRU";"hh3";4.66e-07
"BNL";"CHM";"hh3";3.032845541
"BNL";"IRS";"hh3";0.009871319
"BNL";"MAC";"hh3";3.661879488
"BNL";"FOT";"hh3";10.850885614
"BNL";"ROI";"hh3";7.046022298
"BNL";"BUI";"hh3";0.160304152
"BNL";"TRN";"hh3";3.974271267
"BNL";"AGR";"hh3";1.291621192
"BNL";"SER";"hh3";55.65864726
"EUN";"oil";"hh3";3.836263098
"EUN";"gas";"hh3";0.114939096
"EUN";"ppp";"hh3";1.898684581
"EUN";"nmm";"hh3";0.253451315
"EUN";"nfm";"hh3";0.002810282
"EUN";"mvh";"hh3";5.672578983
"EUN";"ele";"hh3";5.363027327
"EUN";"COL";"hh3";0.017986107
"EUN";"CRU";"hh3";3.3e-06
"EUN";"CHM";"hh3";3.274002401
"EUN";"IRS";"hh3";0.002705741
"EUN";"MAC";"hh3";4.136538417
"EUN";"FOT";"hh3";13.940007813
"EUN";"ROI";"hh3";6.592636443
"EUN";"BUI";"hh3";0.099345109
"EUN";"TRN";"hh3";3.925605361
"EUN";"AGR";"hh3";1.76484067
"EUN";"SER";"hh3";55.05574978
"EUS";"oil";"hh3";4.973308405
"EUS";"gas";"hh3";1.150110964
"EUS";"ppp";"hh3";1.493313702
"EUS";"nmm";"hh3";0.682901756
"EUS";"nfm";"hh3";0.022940851
"EUS";"mvh";"hh3";1.328836198
"EUS";"ele";"hh3";5.122090767
"EUS";"COL";"hh3";0.039388486
"EUS";"CRU";"hh3";4.27e-08
"EUS";"CHM";"hh3";3.292748671
"EUS";"IRS";"hh3";0.012637338
"EUS";"MAC";"hh3";2.255104295
"EUS";"FOT";"hh3";18.620258051
"EUS";"ROI";"hh3";6.156095842
"EUS";"BUI";"hh3";0.438674701
"EUS";"TRN";"hh3";6.809976972
"EUS";"AGR";"hh3";4.083796669
"EUS";"SER";"hh3";42.93558847
"DEU";"oil";"hh4";13.456292308
"DEU";"gas";"hh4";1.816487637
"DEU";"ppp";"hh4";7.199164578
"DEU";"nmm";"hh4";1.549678893
"DEU";"nfm";"hh4";0.00488641
"DEU";"mvh";"hh4";17.525977576
"DEU";"ele";"hh4";8.114866606
"DEU";"COL";"hh4";0.041655674
"DEU";"CRU";"hh4";0.008204452
"DEU";"CHM";"hh4";11.259724228
"DEU";"IRS";"hh4";0.000923363
"DEU";"MAC";"hh4";15.102629668
"DEU";"FOT";"hh4";36.25151665
"DEU";"ROI";"hh4";29.46413074
"DEU";"BUI";"hh4";1.174321024
"DEU";"TRN";"hh4";10.929730068
"DEU";"AGR";"hh4";2.182117088
"DEU";"SER";"hh4";117.59786368
"DEU";"DWE";"hh4";50.81673763
"FRA";"oil";"hh4";8.536184044
"FRA";"gas";"hh4";0.535245772
"FRA";"ppp";"hh4";3.576980855
"FRA";"nmm";"hh4";1.033617973
"FRA";"nfm";"hh4";0.034810466
"FRA";"mvh";"hh4";17.216177174
"FRA";"ele";"hh4";4.599451524
"FRA";"COL";"hh4";0.007856511
