"r";"category";"hh";"Value"
"EUN";"savings";"hh4";-45.89954931
"EUS";"skl_labor";"hh4";80.44565998
"EUS";"usk_labor";"hh4";50.73399269
"EUS";"rkr";"hh4";119.61146345
"EUS";"rkx_ele";"hh4";4.879212501
"EUS";"taxes income";"hh4";51.07105361
"EUS";"tax on income";"hh4";-42.41967304
"EUS";"cons_hh";"hh4";-153.72533864
"EUS";"savings";"hh4";-110.59637055
"DEU";"skl_labor";"hh5";435.2895385
"DEU";"usk_labor";"hh5";157.04354243
"DEU";"rkr";"hh5";524.4356319
"DEU";"rkx_ele";"hh5";8.096318849
"DEU";"taxes income";"hh5";77.67575169
"DEU";"tax on income";"hh5";-282.2736441
"DEU";"cons_hh";"hh5";-483.1323391
"DEU";"savings";"hh5";-437.13480022
"FRA";"skl_labor";"hh5";327.7576046
"FRA";"usk_labor";"hh5";95.30670038
"FRA";"rkr";"hh5";478.70475724
"FRA";"rkx_ele";"hh5";8.553529883
"FRA";"taxes income";"hh5";104.6478595
"FRA";"tax on income";"hh5";-209.31754743
"FRA";"cons_hh";"hh5";-358.2291193
"FRA";"savings";"hh5";-447.4237849
"ITA";"skl_labor";"hh5";251.08326206
"ITA";"usk_labor";"hh5";77.6062046
"ITA";"rkr";"hh5";393.5731921
"ITA";"rkx_ele";"hh5";7.375993106
"ITA";"taxes income";"hh5";79.37607909
"ITA";"tax on income";"hh5";-147.63412943
"ITA";"cons_hh";"hh5";-398.680104
"ITA";"savings";"hh5";-262.70049745
"POL";"skl_labor";"hh5";61.78767867
"POL";"usk_labor";"hh5";20.102660349
"POL";"rkr";"hh5";124.09802486
"POL";"rkx_ele";"hh5";3.801655638
"POL";"taxes income";"hh5";12.028299461
"POL";"tax on income";"hh5";-21.747749844
"POL";"cons_hh";"hh5";-78.95184909
"POL";"savings";"hh5";-121.118720118
"UKI";"skl_labor";"hh5";388.1720594
"UKI";"usk_labor";"hh5";103.16563617
"UKI";"rkr";"hh5";330.15095165
"UKI";"rkx_ele";"hh5";8.827355122
"UKI";"taxes income";"hh5";45.74991753
"UKI";"tax on income";"hh5";-178.92147751
"UKI";"cons_hh";"hh5";-372.9112288
"UKI";"savings";"hh5";-324.23321351
"ESP";"skl_labor";"hh5";236.24350893
"ESP";"usk_labor";"hh5";84.58914734
"ESP";"rkr";"hh5";282.36829059
"ESP";"rkx_ele";"hh5";11.516624797
"ESP";"taxes income";"hh5";39.44184348
"ESP";"tax on income";"hh5";-127.73053869
"ESP";"cons_hh";"hh5";-235.8177351
"ESP";"savings";"hh5";-290.61114134
"BNL";"skl_labor";"hh5";164.67047723
