"r";"i";"hh";"Value"
"ITA";"TRN";"hh2";4.044497194
"ITA";"AGR";"hh2";2.246147271
"ITA";"SER";"hh2";46.47720561
"ITA";"DWE";"hh2";26.12045071
"POL";"oil";"hh2";1.171053117
"POL";"gas";"hh2";0.220898032
"POL";"ppp";"hh2";0.677850172
"POL";"nmm";"hh2";0.308263319
"POL";"nfm";"hh2";0.023605279
"POL";"mvh";"hh2";0.731466394
"POL";"ele";"hh2";2.045
"POL";"COL";"hh2";0.209090824
"POL";"CRU";"hh2";4.558704e-08
"POL";"CHM";"hh2";1.563641645
"POL";"IRS";"hh2";0.016192416
"POL";"MAC";"hh2";0.664381796
"POL";"FOT";"hh2";7.491257408
"POL";"ROI";"hh2";2.068492371
"POL";"BUI";"hh2";1.749301616
"POL";"TRN";"hh2";1.829921432
"POL";"AGR";"hh2";1.020695082
"POL";"SER";"hh2";8.703587905
"POL";"DWE";"hh2";7.109904981
"UKI";"oil";"hh2";5.973242565
"UKI";"gas";"hh2";1.157578598
"UKI";"ppp";"hh2";4.607838307
"UKI";"nmm";"hh2";0.434898429
"UKI";"nfm";"hh2";0.011865335
"UKI";"mvh";"hh2";5.95
"UKI";"ele";"hh2";3.081612729
"UKI";"COL";"hh2";0.016800702
"UKI";"CRU";"hh2";7.98945e-07
"UKI";"CHM";"hh2";6.807398595
"UKI";"IRS";"hh2";0.00126041
"UKI";"MAC";"hh2";5.160884456
"UKI";"FOT";"hh2";24.13406074
"UKI";"ROI";"hh2";13.960341315
"UKI";"BUI";"hh2";0.992852084
"UKI";"TRN";"hh2";8.461723983
"UKI";"AGR";"hh2";2.022407989
"UKI";"SER";"hh2";78.13177127
"UKI";"DWE";"hh2";34.41939169
"ESP";"oil";"hh2";3.977193652
"ESP";"gas";"hh2";0.188177621
"ESP";"ppp";"hh2";1.549542146
"ESP";"nmm";"hh2";0.117414677
"ESP";"nfm";"hh2";0.002145
"ESP";"mvh";"hh2";2.786186193
"ESP";"ele";"hh2";3.140543021
"ESP";"COL";"hh2";0.001456969
"ESP";"CRU";"hh2";6.06138e-07
"ESP";"CHM";"hh2";2.73352856
"ESP";"IRS";"hh2";0.001107448
"ESP";"MAC";"hh2";2.105223469
"ESP";"FOT";"hh2";15.822445607
"ESP";"ROI";"hh2";9.732753817
"ESP";"BUI";"hh2";0.601743828
"ESP";"TRN";"hh2";3.917752618
"ESP";"AGR";"hh2";2.462236854
"ESP";"SER";"hh2";53.03859615
"ESP";"DWE";"hh2";14.988644498
"BNL";"oil";"hh2";3.11774065
"BNL";"gas";"hh2";1.197556672
"BNL";"ppp";"hh2";1.69074781
"BNL";"nmm";"hh2";0.314
"BNL";"nfm";"hh2";0.008648568
"BNL";"mvh";"hh2";3.53485278
"BNL";"ele";"hh2";1.508928328
"BNL";"COL";"hh2";0.00722508
"BNL";"CRU";"hh2";4.36315e-07
"BNL";"CHM";"hh2";2.508770568
"BNL";"IRS";"hh2";0.00798074
"BNL";"MAC";"hh2";2.634832388
"BNL";"FOT";"hh2";10.400714266
"BNL";"ROI";"hh2";5.497375081
"BNL";"BUI";"hh2";0.12718594
"BNL";"TRN";"hh2";2.833177133
"BNL";"AGR";"hh2";1.231069845
"BNL";"SER";"hh2";32.69123174
"BNL";"DWE";"hh2";16.025625289
"EUN";"oil";"hh2";3.094100966
"EUN";"gas";"hh2";0.137137551
"EUN";"ppp";"hh2";1.593
"EUN";"nmm";"hh2";0.180712231
"EUN";"nfm";"hh2";0.002046901
"EUN";"mvh";"hh2";3.073923582
"EUN";"ele";"hh2";4.927711127
"EUN";"COL";"hh2";0.022753854
"EUN";"CRU";"hh2";3.41745e-06
"EUN";"CHM";"hh2";2.361884379
"EUN";"IRS";"hh2";0.001970756
"EUN";"MAC";"hh2";2.397135648
"EUN";"FOT";"hh2";12.761753076
"EUN";"ROI";"hh2";5.011857873
"EUN";"BUI";"hh2";0.108048801
"EUN";"TRN";"hh2";3.359813257
"EUN";"AGR";"hh2";1.625798106
"EUN";"SER";"hh2";25.60702656
"EUN";"DWE";"hh2";20.011427268
"EUS";"oil";"hh2";2.643145701
"EUS";"gas";"hh2";0.68
"EUS";"ppp";"hh2";0.849702869
"EUS";"nmm";"hh2";0.422553509
"EUS";"nfm";"hh2";0.016243434
"EUS";"mvh";"hh2";0.415434845
"EUS";"ele";"hh2";4.04657912
"EUS";"COL";"hh2";0.047349493
"EUS";"CRU";"hh2";1.07649e-08
"EUS";"CHM";"hh2";2.312157894
"EUS";"IRS";"hh2";0.008947958
"EUS";"MAC";"hh2";0.883509208
"EUS";"FOT";"hh2";17.109340589
"EUS";"ROI";"hh2";4.324474483
"EUS";"BUI";"hh2";0.276594152
"EUS";"TRN";"hh2";5.372913645
"EUS";"AGR";"hh2";3.790104594
"EUS";"SER";"hh2";14.314531463
"EUS";"DWE";"hh2";13.982549376
"DEU";"oil";"hh3";11.888583198
"DEU";"gas";"hh3";1.751900516
"DEU";"ppp";"hh3";6.325756925
"DEU";"nmm";"hh3";1.41889107
"DEU";"nfm";"hh3";0.00476503
"DEU";"mvh";"hh3";12.301630005
"DEU";"ele";"hh3";8.080844503
"DEU";"COL";"hh3";0.040016242
"DEU";"CRU";"hh3";0.007486106
"DEU";"CHM";"hh3";9.91965225
"DEU";"IRS";"hh3";0.000900426
"DEU";"MAC";"hh3";11.613182222
"DEU";"FOT";"hh3";35.49872655
"DEU";"ROI";"hh3";24.77238005
"DEU";"BUI";"hh3";0.980478478
"DEU";"TRN";"hh3";9.278416755
"DEU";"AGR";"hh3";2.154118351
"DEU";"SER";"hh3";90.46529453
"DEU";"DWE";"hh3";49.14725436
"FRA";"oil";"hh3";8.216173814
"FRA";"gas";"hh3";0.568347195
"FRA";"ppp";"hh3";3.03930721
"FRA";"nmm";"hh3";0.79595987
"FRA";"nfm";"hh3";0.029749171
"FRA";"mvh";"hh3";13.718710409
"FRA";"ele";"hh3";4.181597741
"FRA";"COL";"hh3";0.006762169
"FRA";"CRU";"hh3";6.92e-07
"FRA";"CHM";"hh3";8.73981481
"FRA";"IRS";"hh3";0.015724809
"FRA";"MAC";"hh3";10.651001876
"FRA";"FOT";"hh3";23.6438491
"FRA";"ROI";"hh3";14.326231046
"FRA";"BUI";"hh3";2.483670363
"FRA";"TRN";"hh3";6.241209857
"FRA";"AGR";"hh3";2.778890297
"FRA";"SER";"hh3";74.31133206
"FRA";"DWE";"hh3";43.39075232
"ITA";"oil";"hh3";5.487336089
"ITA";"gas";"hh3";1.939574778
"ITA";"ppp";"hh3";2.9782414
"ITA";"nmm";"hh3";0.753787865
"ITA";"nfm";"hh3";0.001422333
"ITA";"mvh";"hh3";1.600229714
"ITA";"ele";"hh3";3.383748135
"ITA";"COL";"hh3";0.001182
"ITA";"CRU";"hh3";7.1537e-07
"ITA";"CHM";"hh3";6.465451933
"ITA";"IRS";"hh3";0.000292082
"ITA";"MAC";"hh3";3.729793408
"ITA";"FOT";"hh3";19.954802329
"ITA";"ROI";"hh3";19.064404281
"ITA";"BUI";"hh3";1.039602992
"ITA";"TRN";"hh3";5.874530406
"ITA";"AGR";"hh3";2.446890294
"ITA";"SER";"hh3";65.88697315
"ITA";"DWE";"hh3";29.48748544
"POL";"oil";"hh3";1.618529964
"POL";"gas";"hh3";0.24997984
"POL";"ppp";"hh3";0.809468643
"POL";"nmm";"hh3";0.421683544
"POL";"nfm";"hh3";0.031596621
"POL";"mvh";"hh3";1.047204689
"POL";"ele";"hh3";2.17
"POL";"COL";"hh3";0.211187803
"POL";"CRU";"hh3";4.9684e-08
"POL";"CHM";"hh3";2.000602987
"POL";"IRS";"hh3";0.021674204
"POL";"MAC";"hh3";0.998923012
"POL";"FOT";"hh3";8.114317565
"POL";"ROI";"hh3";2.780600332
"POL";"BUI";"hh3";2.430231076
"POL";"TRN";"hh3";1.998521731
"POL";"AGR";"hh3";1.087262734
"POL";"SER";"hh3";10.779918116
"POL";"DWE";"hh3";7.521808286
"UKI";"oil";"hh3";6.905590087
"UKI";"gas";"hh3";1.141374415
"UKI";"ppp";"hh3";4.432863036
"UKI";"nmm";"hh3";0.534046929
"UKI";"nfm";"hh3";0.018854415
"UKI";"mvh";"hh3";7.29
"UKI";"ele";"hh3";2.948047221
"UKI";"COL";"hh3";0.012080597
"UKI";"CRU";"hh3";9.26674e-07
"UKI";"CHM";"hh3";6.944002886
"UKI";"IRS";"hh3";0.002002833
"UKI";"MAC";"hh3";5.752648392
"UKI";"FOT";"hh3";23.69311928
"UKI";"ROI";"hh3";18.834775059
"UKI";"BUI";"hh3";1.478727291
"UKI";"TRN";"hh3";5.708105481
"UKI";"AGR";"hh3";1.972207992
"UKI";"SER";"hh3";91.36952162
"UKI";"DWE";"hh3";20.679820244
"ESP";"oil";"hh3";4.791555959
"ESP";"gas";"hh3";0.18000832
"ESP";"ppp";"hh3";1.746048517
"ESP";"nmm";"hh3";0.136137622
"ESP";"nfm";"hh3";0.00228
"ESP";"mvh";"hh3";4.063263572
"ESP";"ele";"hh3";3.182145584
"ESP";"COL";"hh3";0.000923541
"ESP";"CRU";"hh3";6.53203e-07
"ESP";"CHM";"hh3";3.229056589
"ESP";"IRS";"hh3";0.001176266
"ESP";"MAC";"hh3";2.9108728
"ESP";"FOT";"hh3";16.584729322
"ESP";"ROI";"hh3";11.803761052
"ESP";"BUI";"hh3";0.674217315
"ESP";"TRN";"hh3";4.205013919
"ESP";"AGR";"hh3";2.564019062
"ESP";"SER";"hh3";63.98955915
"ESP";"DWE";"hh3";15.484891038
"BNL";"oil";"hh3";3.728333215
"BNL";"gas";"hh3";1.116432111
"BNL";"ppp";"hh3";1.746163781
"BNL";"nmm";"hh3";0.382
"BNL";"nfm";"hh3";0.010675466
"BNL";"mvh";"hh3";5.326732252
"BNL";"ele";"hh3";1.431536216
"BNL";"COL";"hh3";0.004827614
"BNL";"CRU";"hh3";4.61708e-07
"BNL";"CHM";"hh3";3.021942335
"BNL";"IRS";"hh3";0.009851124
"BNL";"MAC";"hh3";3.61764832
"BNL";"FOT";"hh3";10.771502494
"BNL";"ROI";"hh3";7.023908046
"BNL";"BUI";"hh3";0.159030032
"BNL";"TRN";"hh3";3.96921586
"BNL";"AGR";"hh3";1.282237464
"BNL";"SER";"hh3";39.16322331
"BNL";"DWE";"hh3";16.437736879
"EUN";"oil";"hh3";3.972673104
"EUN";"gas";"hh3";0.12055817
"EUN";"ppp";"hh3";1.964
"EUN";"nmm";"hh3";0.266385843
"EUN";"nfm";"hh3";0.002962388
"EUN";"mvh";"hh3";5.926288908
"EUN";"ele";"hh3";5.570101316
"EUN";"COL";"hh3";0.018699334
"EUN";"CRU";"hh3";3.40707e-06
"EUN";"CHM";"hh3";3.396488894
"EUN";"IRS";"hh3";0.002852189
"EUN";"MAC";"hh3";4.320480637
"EUN";"FOT";"hh3";14.393183126
"EUN";"ROI";"hh3";6.855384355
"EUN";"BUI";"hh3";0.104765569
"EUN";"TRN";"hh3";4.079310799
"EUN";"AGR";"hh3";1.821884246
"EUN";"SER";"hh3";33.69442619
"EUN";"DWE";"hh3";22.56356334
"EUS";"oil";"hh3";5.375898651
"EUS";"gas";"hh3";1.175
"EUS";"ppp";"hh3";1.596974124
"EUS";"nmm";"hh3";0.724143437
"EUS";"nfm";"hh3";0.024191194
"EUS";"mvh";"hh3";1.469073331
"EUS";"ele";"hh3";5.299505819
"EUS";"COL";"hh3";0.039694335
"EUS";"CRU";"hh3";4.70103e-08
"EUS";"CHM";"hh3";3.517889592
"EUS";"IRS";"hh3";0.01332611
"EUS";"MAC";"hh3";2.453926892
"EUS";"FOT";"hh3";19.380346974
"EUS";"ROI";"hh3";6.641440402
"EUS";"BUI";"hh3";0.472287002
"EUS";"TRN";"hh3";7.186501743
"EUS";"AGR";"hh3";4.247086632
"EUS";"SER";"hh3";25.64866646
"EUS";"DWE";"hh3";18.066963926
"DEU";"oil";"hh4";13.456292308
"DEU";"gas";"hh4";1.816487637
"DEU";"ppp";"hh4";7.199164578
"DEU";"nmm";"hh4";1.549678893
"DEU";"nfm";"hh4";0.00488641
"DEU";"mvh";"hh4";17.525977576
"DEU";"ele";"hh4";8.114866606
"DEU";"COL";"hh4";0.041655674
"DEU";"CRU";"hh4";0.008204452
"DEU";"CHM";"hh4";11.259724228
"DEU";"IRS";"hh4";0.000923363
"DEU";"MAC";"hh4";15.102629668
"DEU";"FOT";"hh4";36.25151665
"DEU";"ROI";"hh4";29.46413074
"DEU";"BUI";"hh4";1.174321024
"DEU";"TRN";"hh4";10.929730068
"DEU";"AGR";"hh4";2.182117088
"DEU";"SER";"hh4";117.59786368
"DEU";"DWE";"hh4";50.81673763
"FRA";"oil";"hh4";8.537762889
"FRA";"gas";"hh4";0.535362507
"FRA";"ppp";"hh4";3.590509384
"FRA";"nmm";"hh4";1.036890672
"FRA";"nfm";"hh4";0.034884305
"FRA";"mvh";"hh4";17.280330796
"FRA";"ele";"hh4";4.60355606
"FRA";"COL";"hh4";0.007844851
"FRA";"CRU";"hh4";5.38e-07
"FRA";"CHM";"hh4";10.000789382
"FRA";"IRS";"hh4";0.018439137
"FRA";"MAC";"hh4";13.326408265
"FRA";"FOT";"hh4";25.07609352
"FRA";"ROI";"hh4";16.903472757
"FRA";"BUI";"hh4";2.853672426
"FRA";"TRN";"hh4";9.545583874
"FRA";"AGR";"hh4";2.99559164
"FRA";"SER";"hh4";88.8840614
"FRA";"DWE";"hh4";48.89346027
"ITA";"oil";"hh4";6.503383314
"ITA";"gas";"hh4";2.226851794
"ITA";"ppp";"hh4";4.236112898
"ITA";"nmm";"hh4";1.166329931
"ITA";"nfm";"hh4";0.002389041
"ITA";"mvh";"hh4";2.990633977
"ITA";"ele";"hh4";3.579921826
"ITA";"COL";"hh4";0.001219
"ITA";"CRU";"hh4";9.38609e-07
"ITA";"CHM";"hh4";8.063451459
"ITA";"IRS";"hh4";0.000490598
"ITA";"MAC";"hh4";6.692710676
"ITA";"FOT";"hh4";22.02136302
"ITA";"ROI";"hh4";26.38290941
"ITA";"BUI";"hh4";1.746182951
"ITA";"TRN";"hh4";8.617131002
"ITA";"AGR";"hh4";2.668726333
"ITA";"SER";"hh4";92.23343054
"ITA";"DWE";"hh4";33.71228423
"POL";"oil";"hh4";2.275941638
